em ,dataset,subject,video,onset,apex,offset,emotion,au,type,duration_frame_full,duration_time_full,duration_frame_half,duration_time_half,Inducement Code,Classes,Notes,selfReport,remarks,filename,length
102,CASME2,11,EP13_03f,6,49,81,disgust,4,micro-expression,76,0.38,44,0.22,,,,,,,
103,CASME2,11,EP13_05f,16,61,111,disgust,4+9,micro-expression,96,0.48,46,0.23,,,,,,,
104,CASME2,11,EP15_01f,56,89,111,others,4,micro-expression,56,0.28,34,0.17,,,,,,,
105,CASME2,11,EP15_04f,61,76,96,others,R14,micro-expression,36,0.18,16,0.08,,,,,,,
106,CASME2,11,EP18_03f,56,106,131,others,4,micro-expression,76,0.38,51,0.255,,,,,,,
107,CASME2,11,EP19_03f,11,94,151,others,4,micro-expression,141,0.705,84,0.42,,,,,,,
108,CASME2,12,EP01_02,31,99,106,disgust,4+10,micro-expression,76,0.38,69,0.345,,,,,,,
109,CASME2,12,EP02_05,41,61,140,surprise,1+2,micro-expression,100,0.5,21,0.105,,,,,,,
110,CASME2,12,EP03_02,26,59,91,others,14,micro-expression,66,0.33,34,0.17,,,,,,,
111,CASME2,12,EP03_04,60,129,156,happiness,6+12,micro-expression,97,0.485,70,0.35,,,,,,,
112,CASME2,12,EP04_16,36,56,135,disgust,4,micro-expression,100,0.5,21,0.105,,,,,,,
113,CASME2,12,EP06_06,36,76,111,surprise,1+2,micro-expression,76,0.38,41,0.205,,,,,,,
114,CASME2,12,EP08_01,46,81,106,surprise,1+2,micro-expression,61,0.305,36,0.18,,,,,,,
115,CASME2,12,EP08_03,76,114,156,surprise,1+2,micro-expression,81,0.405,39,0.195,,,,,,,
116,CASME2,12,EP08_07,111,134,186,happiness,R6+R12,micro-expression,76,0.38,24,0.12,,,,,,,
117,CASME2,12,EP09_02,16,59,101,disgust,4+7,micro-expression,86,0.43,44,0.22,,,,,,,
118,CASME2,12,EP09_06,66,111,111,disgust,4+7,micro-expression,46,0.23,46,0.23,,,,,,,
119,CASME2,12,EP16_02,136,189,226,disgust,4+5+7+9,micro-expression,91,0.455,54,0.27,,,,,,,
120,CASME2,13,EP01_01,76,111,131,others,4,micro-expression,56,0.28,36,0.18,,,,,,,
121,CASME2,13,EP01_02,76,101,116,others,14,micro-expression,41,0.205,26,0.13,,,,,,,
122,CASME2,13,EP02_02,11,34,68,others,14,micro-expression,58,0.29,24,0.12,,,,,,,
123,CASME2,13,EP02_03,26,59,66,others,14,micro-expression,41,0.205,34,0.17,,,,,,,
124,CASME2,13,EP03_01,31,86,111,happiness,12,micro-expression,81,0.405,56,0.28,,,,,,,
125,CASME2,13,EP08_01,54,81,106,others,4,micro-expression,53,0.265,28,0.14,,,,,,,
126,CASME2,13,EP09_10,51,76,126,happiness,6+12,micro-expression,76,0.38,26,0.13,,,,,,,
127,CASME2,13,EP12_01,6,41,61,others,4,micro-expression,56,0.28,36,0.18,,,,,,,
128,CASME2,14,EP04_04f,11,44,86,others,14,micro-expression,76,0.38,34,0.17,,,,,,,
129,CASME2,14,EP09_03,6,29,41,happiness,14,micro-expression,36,0.18,24,0.12,,,,,,,
130,CASME2,14,EP09_04,21,71,106,happiness,14,micro-expression,86,0.43,51,0.255,,,,,,,
131,CASME2,14,EP09_06,11,59,91,happiness,6+12,micro-expression,81,0.405,49,0.245,,,,,,,
132,CASME2,15,EP03_02,16,49,76,happiness,L12,micro-expression,61,0.305,34,0.17,,,,,,,
133,CASME2,15,EP04_02,21,46,111,surprise,1+R2+25,micro-expression,91,0.455,26,0.13,,,,,,,
134,CASME2,15,EP08_02,21,54,78,disgust,4+7,micro-expression,58,0.29,34,0.17,,,,,,,
135,CASME2,16,EP01_05,66,106,156,happiness,4+R12,micro-expression,91,0.455,41,0.205,,,,,,,
136,CASME2,16,EP01_08,73,94,110,repression,17,micro-expression,38,0.19,22,0.11,,,,,,,
137,CASME2,16,EP01_09f,51,76,163,others,4+12,micro-expression,113,0.565,26,0.13,,,,,,,
138,CASME2,16,EP04_02f,181,269,271,happiness,R12,micro-expression,91,0.455,89,0.445,,,,,,,
139,CASME2,17,EP01_06,81,86,121,happiness,12,micro-expression,41,0.205,6,0.03,,,,,,,
140,CASME2,17,EP01_13,76,134,166,surprise,2,micro-expression,91,0.455,59,0.295,,,,,,,
141,CASME2,17,EP01_15,86,101,126,happiness,12,micro-expression,41,0.205,16,0.08,,,,,,,
142,CASME2,17,EP02_01,91,119,136,disgust,4+6+7+9,micro-expression,46,0.23,29,0.145,,,,,,,
143,CASME2,17,EP02_03,81,109,131,disgust,4+7,micro-expression,51,0.255,29,0.145,,,,,,,
144,CASME2,17,EP02_11,161,181,210,disgust,4+9+17,micro-expression,50,0.25,21,0.105,,,,,,,
145,CASME2,17,EP02_18f,91,134,181,repression,17,micro-expression,91,0.455,44,0.22,,,,,,,
146,CASME2,17,EP03_02,118,139,161,disgust,4+7,micro-expression,44,0.22,22,0.11,,,,,,,
147,CASME2,17,EP03_09,96,132,161,happiness,6+12,micro-expression,66,0.33,37,0.185,,,,,,,
148,CASME2,17,EP05_02,25,91,121,happiness,12,micro-expression,97,0.485,67,0.335,,,,,,,
149,CASME2,17,EP05_03,21,56,101,happiness,12+L14,micro-expression,81,0.405,36,0.18,,,,,,,
150,CASME2,17,EP05_03f,11,59,76,repression,17,micro-expression,66,0.33,49,0.245,,,,,,,
151,CASME2,17,EP05_04,6,39,71,repression,17,micro-expression,66,0.33,34,0.17,,,,,,,
152,CASME2,17,EP05_09,121,144,196,repression,17,micro-expression,76,0.38,24,0.12,,,,,,,
153,CASME2,17,EP05_10,111,129,151,repression,17,micro-expression,41,0.205,19,0.095,,,,,,,
154,CASME2,17,EP06_04,71,91,161,disgust,4+7,micro-expression,91,0.455,21,0.105,,,,,,,
155,CASME2,17,EP06_07,216,225,246,happiness,L12,micro-expression,31,0.155,10,0.05,,,,,,,
156,CASME2,17,EP06_08,156,194,231,repression,17,micro-expression,76,0.38,39,0.195,,,,,,,
157,CASME2,17,EP07_01,21,71,115,disgust,4+7,micro-expression,95,0.475,51,0.255,,,,,,,
158,CASME2,17,EP08_02,21,66,88,disgust,4+7,micro-expression,68,0.34,46,0.23,,,,,,,
159,CASME2,17,EP08_03,51,69,84,others,4,micro-expression,34,0.17,19,0.095,,,,,,,
160,CASME2,17,EP10_06,104,121,161,repression,17,micro-expression,58,0.29,18,0.09,,,,,,,
161,CASME2,17,EP11_01,9,31,53,disgust,4+7,micro-expression,45,0.225,23,0.115,,,,,,,
162,CASME2,17,EP11_02,36,81,121,disgust,4+7,micro-expression,86,0.43,46,0.23,,,,,,,
163,CASME2,17,EP12_03,131,156,184,repression,17,micro-expression,54,0.27,26,0.13,,,,,,,
164,CASME2,17,EP13_01,146,164,191,others,4,micro-expression,46,0.23,19,0.095,,,,,,,
165,CASME2,17,EP13_03,51,79,136,disgust,4+7,micro-expression,86,0.43,29,0.145,,,,,,,
166,CASME2,17,EP13_04,86,104,121,disgust,4+7,micro-expression,36,0.18,19,0.095,,,,,,,
167,CASME2,17,EP13_06,86,109,131,disgust,4+7,micro-expression,46,0.23,24,0.12,,,,,,,
168,CASME2,17,EP13_09,6,46,101,happiness,L12,micro-expression,96,0.48,41,0.205,,,,,,,
169,CASME2,17,EP15_01,81,104,111,sadness,1,micro-expression,31,0.155,24,0.12,,,,,,,
170,CASME2,17,EP15_03,319,338,356,sadness,1,micro-expression,38,0.19,20,0.1,,,,,,,
171,CASME2,17,EP15_04,109,131,185,repression,17,micro-expression,77,0.385,23,0.115,,,,,,,
172,CASME2,17,EP15_05,21,49,66,others,R14,micro-expression,46,0.23,29,0.145,,,,,,,
173,CASME2,17,EP16_01f,8,29,71,disgust,4+7+9,micro-expression,64,0.32,22,0.11,,,,,,,
174,CASME2,17,EP18_07,36,69,103,disgust,4+7+9,micro-expression,68,0.34,34,0.17,,,,,,,
175,CASME2,18,EP08_01,111,139,147,others,4,micro-expression,37,0.185,29,0.145,,,,,,,
176,CASME2,18,EP18_01,66,91,126,others,4,micro-expression,61,0.305,26,0.13,,,,,,,
177,CASME2,18,EP19_01,95,121,140,others,4,micro-expression,46,0.23,27,0.135,,,,,,,
178,CASME2,19,EP01_01f,121,189,220,happiness,12,micro-expression,100,0.5,69,0.345,,,,,,,
179,CASME2,19,EP01_02f,36,61,127,happiness,6+12,micro-expression,92,0.46,26,0.13,,,,,,,
180,CASME2,19,EP02_01,91,119,151,surprise,L1+L2,micro-expression,61,0.305,29,0.145,,,,,,,
181,CASME2,19,EP06_01f,146,174,201,surprise,L1+L2,micro-expression,56,0.28,29,0.145,,,,,,,
182,CASME2,19,EP06_02f,211,264,291,others,6+7+12,micro-expression,81,0.405,54,0.27,,,,,,,
183,CASME2,19,EP08_02,76,119,155,happiness,6+7+12,micro-expression,80,0.4,44,0.22,,,,,,,
184,CASME2,19,EP11_01f,61,81,116,others,?,micro-expression,56,0.28,21,0.105,,,,,,,
185,CASME2,19,EP11_04f,76,96,131,surprise,L2+14,micro-expression,56,0.28,21,0.105,,,,,,,
186,CASME2,19,EP13_01,71,104,156,disgust,4+7+6,micro-expression,86,0.43,34,0.17,,,,,,,
187,CASME2,19,EP15_03f,51,81,101,others,12,micro-expression,51,0.255,31,0.155,,,,,,,
188,CASME2,19,EP16_01,86,109,136,disgust,4+9+10,micro-expression,51,0.255,24,0.12,,,,,,,
189,CASME2,19,EP16_02,61,79,101,disgust,4+9+10,micro-expression,41,0.205,19,0.095,,,,,,,
190,CASME2,19,EP19_01,66,86,101,others,4,micro-expression,36,0.18,21,0.105,,,,,,,
191,CASME2,19,EP19_02,106,129,151,surprise,L1+L2,micro-expression,46,0.23,24,0.12,,,,,,,
192,CASME2,19,EP19_03,61,91,116,surprise,L1+L2,micro-expression,56,0.28,31,0.155,,,,,,,
193,CASME2,19,EP19_04,46,69,86,sadness,L1,micro-expression,41,0.205,24,0.12,,,,,,,
194,CASME2,20,EP01_03,76,101,126,disgust,L4,micro-expression,51,0.255,26,0.13,,,,,,,
195,CASME2,20,EP03_02,45,74,111,others,14,micro-expression,67,0.335,30,0.15,,,,,,,
196,CASME2,20,EP06_03,31,49,61,disgust,4,micro-expression,31,0.155,19,0.095,,,,,,,
197,CASME2,20,EP07_04,96,116,151,others,4,micro-expression,56,0.28,21,0.105,,,,,,,
198,CASME2,20,EP10_02,131,166,216,others,14,micro-expression,86,0.43,36,0.18,,,,,,,
199,CASME2,20,EP12_01,41,104,106,others,14,micro-expression,66,0.33,64,0.32,,,,,,,
200,CASME2,20,EP13_02,71,109,121,others,4,micro-expression,51,0.255,39,0.195,,,,,,,
201,CASME2,20,EP15_03f,86,129,181,others,4,micro-expression,96,0.48,44,0.22,,,,,,,
202,CASME2,20,EP16_01,71,111,111,others,4,micro-expression,41,0.205,41,0.205,,,,,,,
203,CASME2,20,EP16_04,81,106,121,others,14,micro-expression,41,0.205,26,0.13,,,,,,,
204,CASME2,20,EP18_03,48,90,126,others,4,micro-expression,79,0.395,43,0.215,,,,,,,
205,CASME2,21,EP01_07,6,21,36,others,4,micro-expression,31,0.155,16,0.08,,,,,,,
206,CASME2,21,EP05_02,111,141,206,repression,12+14+17,micro-expression,96,0.48,31,0.155,,,,,,,
207,CASME2,22,EP01_12,50,119,146,repression,15+17,micro-expression,97,0.485,70,0.35,,,,,,,
208,CASME2,22,EP13_08,151,216,256,repression,15+17,micro-expression,106,0.53,66,0.33,,,,,,,
209,CASME2,23,EP02_01,36,86,130,happiness,6+12+17,micro-expression,95,0.475,51,0.255,,,,,,,
210,CASME2,23,EP03_14f,51,91,111,disgust,4+R10,micro-expression,61,0.305,41,0.205,,,,,,,
211,CASME2,23,EP04_03f,16,91,115,repression,14+15,micro-expression,100,0.5,76,0.38,,,,,,,
212,CASME2,23,EP05_24f,106,141,171,repression,4+15+17,micro-expression,66,0.33,36,0.18,,,,,,,
213,CASME2,23,EP05_25f,51,86,131,disgust,4+7+10,micro-expression,81,0.405,36,0.18,,,,,,,
214,CASME2,23,EP07_01,36,64,96,others,4,micro-expression,61,0.305,29,0.145,,,,,,,
215,CASME2,23,EP12_02f,46,84,130,disgust,4+7+10,micro-expression,85,0.425,39,0.195,,,,,,,
216,CASME2,23,EP12_03,86,129,161,disgust,4+10,micro-expression,76,0.38,44,0.22,,,,,,,
217,CASME2,23,EP13_03,36,56,91,others,4,micro-expression,56,0.28,21,0.105,,,,,,,
218,CASME2,23,EP13_04,21,41,86,repression,17,micro-expression,66,0.33,21,0.105,,,,,,,
219,CASME2,23,EP13_07f,56,64,126,others,4,micro-expression,71,0.355,9,0.045,,,,,,,
220,CASME2,23,EP17_01,81,114,146,others,4,micro-expression,66,0.33,34,0.17,,,,,,,
221,CASME2,24,EP01_08,33,69,131,disgust,L7+L10,micro-expression,99,0.495,37,0.185,,,,,,,
222,CASME2,24,EP02_02f,71,94,106,disgust,4+7,micro-expression,36,0.18,24,0.12,,,,,,,
223,CASME2,24,EP07_01,24,41,66,sadness,1,micro-expression,43,0.215,18,0.09,,,,,,,
224,CASME2,24,EP07_04f,4,24,41,sadness,1,micro-expression,38,0.19,21,0.105,,,,,,,
225,CASME2,24,EP08_02,121,156,181,others,4,micro-expression,61,0.305,36,0.18,,,,,,,
226,CASME2,24,EP10_01f,131,149,154,others,4,micro-expression,24,0.12,19,0.095,,,,,,,
227,CASME2,24,EP10_02,101,121,136,others,4,micro-expression,36,0.18,21,0.105,,,,,,,
228,CASME2,24,EP10_03,334,356,376,sadness,1,micro-expression,43,0.215,23,0.115,,,,,,,
229,CASME2,24,EP12_01,81,99,121,others,L6+L7,micro-expression,41,0.205,19,0.095,,,,,,,
230,CASME2,24,EP18_03,53,76,88,surprise,L1+L2,micro-expression,36,0.18,24,0.12,,,,,,,
231,CASME2,25,EP03_01,56,81,116,others,24,micro-expression,61,0.305,26,0.13,,,,,,,
232,CASME2,25,EP03_02,51,101,134,others,24,micro-expression,84,0.42,51,0.255,,,,,,,
233,CASME2,25,EP09_02,76,101,111,disgust,4+7,micro-expression,36,0.18,26,0.13,,,,,,,
234,CASME2,25,EP10_01,101,129,176,disgust,4+7,micro-expression,76,0.38,29,0.145,,,,,,,
235,CASME2,25,EP10_10,61,91,158,surprise,R2,micro-expression,98,0.49,31,0.155,,,,,,,
236,CASME2,25,EP12_01,131,151,186,surprise,R2,micro-expression,56,0.28,21,0.105,,,,,,,
237,CASME2,25,EP18_04f,76,116,116,disgust,4+7,micro-expression,41,0.205,41,0.205,,,,,,,
238,CASME2,26,EP03_10,116,149,201,happiness,R12,micro-expression,86,0.43,34,0.17,,,,,,,
239,CASME2,26,EP07_28,31,51,71,others,14,micro-expression,41,0.205,21,0.105,,,,,,,
240,CASME2,26,EP07_37,92,119,190,others,14,micro-expression,99,0.495,28,0.14,,,,,,,
241,CASME2,26,EP08_04,31,79,89,others,4+7+12,micro-expression,59,0.295,49,0.245,,,,,,,
242,CASME2,26,EP09_04,31,56,91,disgust,4+7,micro-expression,61,0.305,26,0.13,,,,,,,
243,CASME2,26,EP09_09,46,76,101,disgust,4,micro-expression,56,0.28,31,0.155,,,,,,,
244,CASME2,26,EP13_01,4,29,61,others,?,micro-expression,58,0.29,26,0.13,,,,,,,
245,CASME2,26,EP13_02,32,54,116,happiness,R12,micro-expression,85,0.425,23,0.115,,,,,,,
246,CASME2,26,EP13_11,20,59,101,disgust,4+9,micro-expression,82,0.41,40,0.2,,,,,,,
247,CASME2,26,EP15_01,42,61,81,sadness,1+4,micro-expression,40,0.2,20,0.1,,,,,,,
248,CASME2,26,EP16_01,26,54,76,disgust,4,micro-expression,51,0.255,29,0.145,,,,,,,
249,CASME2,26,EP18_44,11,36,71,disgust,4,micro-expression,61,0.305,26,0.13,,,,,,,
250,CASME2,26,EP18_46,31,46,101,others,17,micro-expression,71,0.355,16,0.08,,,,,,,
251,CASME2,26,EP18_47,6,49,86,disgust,4,micro-expression,81,0.405,44,0.22,,,,,,,
252,CASME2,26,EP18_49,16,54,80,disgust,4,micro-expression,65,0.325,39,0.195,,,,,,,
253,CASME2,26,EP18_50,78,99,161,disgust,4,micro-expression,84,0.42,22,0.11,,,,,,,
254,CASME2,26,EP18_51,21,64,81,disgust,4,micro-expression,61,0.305,44,0.22,,,,,,,
0,SAMM,6,006_1_2,5562,5588,5632,Anger,4+7,micro-expression,71,0.355,27,0.135,1,3,,,,,
1,SAMM,6,006_1_3,3912,3948,3988,Anger,4,micro-expression,77,0.385,37,0.185,1,3,While blinking,,,,
2,SAMM,6,006_1_4,2324,2368,2403,Anger,4+7,micro-expression,80,0.4,45,0.225,1,3,,,,,
3,SAMM,6,006_1_5,5343,5388,5424,Anger,4+7,micro-expression,82,0.41,46,0.23,1,3,,,,,
4,SAMM,6,006_1_6,7160,7197,7259,Anger,4+7+43,micro-expression,100,0.5,38,0.19,1,7,Double AU4,,,,
5,SAMM,6,006_2_4,180,217,274,Anger,4+7,micro-expression,95,0.475,38,0.19,2,3,,,,,
